Document;TfIdfWords
00001;{'SIGNIFICANCE': 0.0679761158887557, 'PSEUDOMONAS': 0.15064499542640666, 'AERUGINOSA': 0.1499161212091328, 'INFECTION': 0.14063370756945226, 'RESPIRATORY': 0.13066394258906688, 'TRACT': 0.16881726627820828, 'CYSTIC': 0.0023530228148414887, 'FIBROSIS': 0.0023027917188305114, 'PATIENTS': 0.037972599531076026, 'STUDIED': 0.03833343389595335, 'MEANS': 0.05770175615833496, 'IMMUNOELECTROPHORETICAL': 0.11445271741454827, 'ANALYSIS': 0.051221300913881954, 'SERA': 0.09994408080608853, 'NUMBER': 0.13883784906738209, 'PRECIPITINS': 0.4250362649834463, 'CONCENTRATIONS': 0.12771431166854755, 'SERUM': 0.08916535965275643, 'PROTEINS': 0.2533679495918025, 'ADDITION': 0.05432243473621838, 'CLINICAL': 0.031346282590306786, 'RADIOGRAPHICAL': 0.11445271741454827, 'STATUS': 0.06385962198497298, 'LUNGS': 0.062349668627329005, 'EVALUATED': 0.059666057858590825, 'USING': 0.04289319624968272, 'SCORING': 0.09483464083118917, 'SYSTEMS': 0.0700793843826197, 'DEMONSTRATED': 0.05046130779926059, 'MAXIMUM': 0.07425107815371801, 'ONE': 0.02801981905441301, 'SIGNIFICANTLY': 0.03858673094938115, 'CHANGED': 0.18416390023997625, 'COMPARED': 0.03620224179537181, 'MATCHED': 0.061873449929433263, 'CONTROL': 0.03151716564416662, 'PERSONS': 0.07246387353662903, 'NOTABLY': 0.196180765833591, 'IGG': 0.05925553074743549, 'IGA': 0.07163315897172022, 'ELEVATED': 0.05021499847546888, 'ACUTE': 0.12017249062468857, 'PHASE': 0.13218935621830333, 'LATTER': 0.06865005031702083, 'SUGGESTING': 0.1401587687652394, 'ACTIVE': 0.061409601957946466, 'TISSUE': 0.16985752087769587, 'DAMAGE': 0.1401587687652394, 'HAPTOGLOBIN': 0.10207508919026353, 'CORRELATED': 0.05925553074743549, 'MANY': 0.09584495528493038, 'ACCOMPANIED': 0.07847230633343641, 'RESULTS': 0.031346282590306786, 'INDICATE': 0.05661917362589862, 'PROTECTIVE': 0.09208195011998813, 'VALUE': 0.05527082447396746}
00074;{'SIGNIFICANCE': 0.10574062471584221, 'CYSTIC': 0.007320515423951297, 'FIBROSIS': 0.007164240903028258, 'PATIENTS': 0.014767122039862898, 'STUDIED': 0.059629786060371885, 'MAXIMUM': 0.11550167712800578, 'ONE': 0.04358638519575357, 'CHILDREN': 0.03723466591651311, 'WEEKS': 0.1090123757062973, 'SIX': 0.0822045730384199, 'CONTROLS': 0.11809808963078192, 'DEVELOPMENT': 0.08310070810003714, 'DISCUSSED': 0.06672274972172867, 'POSITIVE': 0.1433728210403116, 'SKIN': 0.07229693570678843, 'FINDINGS': 0.06854917687625035, 'POSSIBLE': 0.06775167393507171, 'CASES': 0.06749084781424285, 'GENETIC': 0.07198999581271663, 'PARENTS': 0.15935515839874384, 'SUGGESTED': 0.08264902696470992, 'REQUIRED': 0.1090123757062973, 'CULTURE': 0.08355985537645967, 'TIME': 0.07556868669724352, 'RELATION': 0.11407686339501825, 'CULTURED': 0.0915510240556758, 'FIBROBLASTS': 0.07591809731410075, 'METACHROMASIA': 0.23400708877102688, 'CYTOPLASMIC': 0.14323858907553708, 'PHENOMENON': 0.11272158105697849, 'TOLUIDINE': 0.1667746407529594, 'BLUE': 0.13068344674934104, 'RECORDED': 0.13333095174390563, 'AVERAGE': 0.09698837342028956, 'AMETACHROMATIC': 0.14323858907553708, 'HETEROGENEITY': 0.11700354438551344}
00078;{'SIGNIFICANCE': 0.09063482118500761, 'CYSTIC': 0.0031373637531219847, 'FIBROSIS': 0.0030703889584406817, 'NORMAL': 0.027674478644148032, 'CONDITIONS': 0.12722297890149215, 'FOUND': 0.03537448233590661, 'ALSO': 0.13067855694363584, 'WITHIN': 0.06662938720405902, 'FORMATION': 0.09343917917682626, 'DISCUSSED': 0.0571909283329103, 'OCCURRING': 0.09778016862430136, 'OBSERVED': 0.050287304023712204, 'FOLLOWING': 0.07900737432991399, 'VARIETY': 0.08249793323924436, 'UPON': 0.08585694748352782, 'CHEMICAL': 0.1002887523304401, 'INCLUSION': 0.392361531667182, 'BODIES': 0.5057847510996756, 'ASPECTS': 0.08313289150310534, 'BASED': 0.07794899903060841, 'PAPER': 0.0844559831972675, 'MORPHOLOGICAL': 0.11679225662948642, 'INTRACISTERNAL': 0.3052072464387954, 'GRANULES': 0.130787177222394, 'PALADE': 0.1526036232193977, 'CISTERNAE': 0.1526036232193977, 'ROUGH': 0.1264461877749189, 'SURFACED': 0.1526036232193977, 'ENDOPLASMIC': 0.1526036232193977, 'RETICULUM': 0.1526036232193977, 'EXPERIMENTAL': 0.08658960602321243, 'INDUCED': 0.08187946927726196, 'ANIMALS': 0.11428367292334768, 'ADMINISTRATIONS': 0.1526036232193977, 'ARTIFICIAL': 0.11959661462130505, 'HIBERNATION': 0.1526036232193977, 'COLD': 0.13610011892035137, 'EXPOSURE': 0.10627242919427118, 'TENTATIVELY': 0.1526036232193977, 'CLASSIFIED': 0.130787177222394, 'TYPES': 0.08187946927726196, 'FATE': 0.1429496920739652}
00121;{'SIGNIFICANCE': 0.04818560113633316, 'CYSTIC': 0.003335931079268946, 'FIBROSIS': 0.003264717373531864, 'USING': 0.03040530367066117, 'DEMONSTRATED': 0.03577004097162777, 'ONE': 0.01986215021578644, 'NORMAL': 0.014713013962711612, 'HETEROZYGOTES': 0.06297161617552885, 'OVERLAP': 0.05331807085922132, 'DIFFERENT': 0.03063757124873961, 'CONTENT': 0.03941158619253638, 'INCREASED': 0.023688490366076734, 'WITHIN': 0.03542321851355037, 'BLOOD': 0.09560247634572444, 'STAINING': 0.05955195041742124, 'CELL': 0.18382542749243766, 'HYPOTHESIS': 0.0425927814872314, 'STILL': 0.04643686267455066, 'MAY': 0.01733111492249245, 'BASIS': 0.03917931861445795, 'REPORT': 0.03807790877914618, 'MADE': 0.037460311764343245, 'REPORTED': 0.03052090472842411, 'POSSIBLE': 0.030874180527374454, 'GENETIC': 0.032805567712124034, 'RECENTLY': 0.04643686267455066, 'MUCOPOLYSACCHARIDE': 0.062092085803018095, 'OBSERVED': 0.026735022392353324, 'OBSERVATIONS': 0.039648195471171224, 'STORED': 0.06722455552590625, 'CONFIRMED': 0.04419723345734714, 'CULTURE': 0.07615581755829236, 'MEDIUM': 0.04419723345734714, 'HOWEVER': 0.028888832786957114, 'SHORT': 0.09935305127662539, 'TERM': 0.08908811183084908, 'PARTIAL': 0.054808995361200846, 'VARIABLE': 0.05136679643102818, 'PROBABLY': 0.07412941989567119, 'FIBROBLAST': 0.04454405591542454, 'CULTURED': 0.0834389080001096, 'HOMOZYGOTES': 0.08027022083671703, 'NORMALS': 0.04772525121011956, 'MUCOPOLYSACCHARIDOSES': 0.07235702524879441, 'CELLULAR': 0.04772525121011956, 'PROCESSES': 0.05263367565326846, 'ORDER': 0.047281057288457905, 'PROPOSED': 0.04643686267455066, 'METACHROMASIA': 0.05331807085922132, 'WHITE': 0.14598998042100636, 'CYTOPLASMIC': 0.0652732810977131, 'TYPES': 0.04353085708411395, 'CULTURES': 0.08579562757140104, 'NOTED': 0.04200392052982769, 'RAISED': 0.04643686267455066, 'RETENTION': 0.060758408389627885, 'UPTAKE': 0.10961799072240169, 'HEPARIN': 0.3725525148181086, 'INVOLVED': 0.04419723345734714, 'DANES': 0.06953242333342466, 'BEARN': 0.07235702524879441, 'REFLECTED': 0.062092085803018095, 'PINOCYTOSIS': 0.08113104019259118, 'MUCOPOLYSACCHARIDES': 0.20167366657771876, 'ROBERTSON': 0.16226208038518236, 'CORRESPONDED': 0.06953242333342466, 'MENTIONED': 0.05955195041742124, 'BAFALLUY': 0.08113104019259118, 'OVERLOADED': 0.08113104019259118, 'ENDOCYTOSIS': 0.08113104019259118, 'EXOCYTOSIS': 0.08113104019259118, 'INCONSTANT': 0.08113104019259118, 'CERTAINLY': 0.06953242333342466, 'STANDARDISATION': 0.08113104019259118, 'ELIMINATE': 0.0652732810977131, 'OBLIGATORY': 0.06722455552590625, 'QUESTION': 0.056499266153916324, 'RELEVANCE': 0.0652732810977131, 'UNCLEAR': 0.06722455552590625}
00147;{'SIGNIFICANCE': 0.055169021590874195, 'PATIENTS': 0.015409170824204765, 'NUMBER': 0.03755999781533042, 'CONCENTRATIONS': 0.03455073165912397, 'CONTROL': 0.076737446785797, 'MANY': 0.03889360504316016, 'SUBJECTS': 0.12610119829666344, 'MEASURED': 0.037244925545237575, 'ARTICLE': 0.05364205759583324, 'FOUND': 0.02153229359576924, 'VARIES': 0.07696724473255934, 'SWEAT': 0.1269475055094839, 'RANGES': 0.07109093881794826, 'PRODUCED': 0.0462387876861812, 'SIGNIFICANT': 0.053028979629301504, 'HIGHER': 0.0339177597243028, 'RATE': 0.20278509149061444, 'HYPOTHESIS': 0.04876564836943885, 'MIGHT': 0.0422151393296844, 'SHOW': 0.08768005541649071, 'WELL': 0.03416764097697679, 'AUTHORS': 0.11762251936380366, 'MADE': 0.04288934245482777, 'WOULD': 0.039427140885518366, 'FINDINGS': 0.03576478793543497, 'GENERALLY': 0.052706716709781484, 'PROVE': 0.06692163342009635, 'LITTLE': 0.049839676951376845, 'REQUIRED': 0.05687602210763338, 'DIFFERENCE': 0.10443560826009707, 'LOWER': 0.035624760241061974, 'DIFFERENCES': 0.0339177597243028, 'HOWEVER': 0.03307562014738568, 'MANNER': 0.0646875655965129, 'SUGGEST': 0.03507779896594825, 'RECENT': 0.0509997161930223, 'CALCIUM': 0.05182809900229692, 'MODERATE': 0.06026174458852476, 'CONSTANT': 0.05881125968190183, 'PROBABLY': 0.042436407041724813, 'INFORMATION': 0.05226075064214737, 'RATES': 0.10728411519166647, 'ATTEMPT': 0.05749282811370288, 'FAILED': 0.06187371031475989, 'MEASUREMENTS': 0.051407989772249786, 'UNDETECTABLE': 0.07960958613537027, 'REALLY': 0.07696724473255934, 'MUCH': 0.046830410795170405, 'MEQ': 0.14218187763589651, 'REFUTE': 0.0870128560450223, 'AVERAGE': 0.05060262961058586, 'BELIEVED': 0.06692163342009635, 'DISPROVE': 0.0870128560450223, 'COMPARABLE': 0.05413338443171268, 'MINUTES': 0.06368766890829622, 'CONCERNING': 0.06275232802224445, 'GIVES': 0.0657615941784509, 'PATHOPHYSIOLOGIC': 0.07473317690897588, 'ACTUALLY': 0.07279793933470743, 'HYPERPERMEABILITY': 0.0870128560450223, 'LITER': 0.14946635381795176, 'TREMENDOUS': 0.09288916195963338, 'UNPREDICTABLY': 0.09288916195963338, 'VARY': 0.06692163342009635, 'SWEATING': 0.07696724473255934, 'INAPPROPRIATE': 0.07696724473255934, 'TOOK': 0.0828435506471704, 'IMMEDIATELY': 0.07473317690897588, 'IONTOPHORESIS': 0.06692163342009635}
00157;{'SIGNIFICANCE': 0.1655070647726226, 'CYSTIC': 0.005729099027440146, 'FIBROSIS': 0.005606797228456898, 'DISEASE': 0.050194102895391425, 'MALABSORPTION': 0.14527388000352548, 'EXAMINED': 0.11413750179549749, 'CASE': 0.1247127326598865, 'EFFECTS': 0.11316042110627755, 'HISTORY': 0.1529991485790669, 'SECTION': 0.230901734197678, 'INCLUDE': 0.14527388000352548, 'DEFICIENCY': 0.23656284531311017, 'TOCOPHEROL': 0.21839381800412228, 'VARIETY': 0.15064839982818534, 'INTESTINAL': 0.1395947416375662, 'LACK': 0.3059982971581338, 'VITAMIN': 0.4743604503880333, 'CAUSES': 0.17247848434110866, 'STATES': 0.16392586285214977, 'DIETARY': 0.1567822519264421, 'UNCLEAR': 0.230901734197678, 'INVOLVING': 0.17062806632290012, 'CONSIDERS': 0.2610385681350669}
00179;{'SIGNIFICANCE': 0.04880336525346563, 'INFECTION': 0.03365593001662105, 'RESPIRATORY': 0.03127000335464848, 'TRACT': 0.040400713297349, 'CYSTIC': 0.0016893497132195302, 'FIBROSIS': 0.0016532863622372902, 'PATIENTS': 0.03407797393814515, 'ONE': 0.08046717266908351, 'SIGNIFICANTLY': 0.027703294014940313, 'CORRELATED': 0.04254243233149215, 'RESULTS': 0.022505023398168976, 'YEAR': 0.03622863124049479, 'PERIOD': 0.07354853464557409, 'FOUND': 0.019047798180872787, 'YEARS': 0.027253405299411212, 'INVESTIGATED': 0.03734416171472081, 'PROTEIN': 0.060674382240516744, 'PER': 0.13762352553733595, 'OCCURRENCE': 0.04745258941169863, 'PRODUCED': 0.08180708590632058, 'CROSSED': 0.057223615719992175, 'IMMUNOELECTROPHORESIS': 0.05400163587023697, 'BACTERIA': 0.04833711340512109, 'PREVALENCE': 0.05031340417213721, 'CENT': 0.17768785620760322, 'STRAINS': 0.2367036665415, 'CLINIC': 0.05817371792709118, 'FOLLOWED': 0.04928721561222009, 'STAPHYLOCOCCUS': 0.04979004526803139, 'AUREUS': 0.1423577682350959, 'SHOW': 0.03878156297267858, 'WELL': 0.030225220864248697, 'DISCUSSED': 0.03079511525618247, 'POSSIBLE': 0.03127000335464848, 'DECADE': 0.07328467941865074, 'RECENTLY': 0.047032207067814136, 'TREATMENT': 0.02656489018438735, 'DECREASED': 0.03658979632981141, 'DESPITE': 0.04979004526803139, 'INCLUDING': 0.04090354295316029, 'CHLORIDE': 0.03753989853691041, 'TESTED': 0.04197253793955838, 'HALF': 0.047032207067814136, 'CONSISTENT': 0.04283716974462931, 'SENSITIVITY': 0.05031340417213721, 'RECENT': 0.09023026711073176, 'ANTIBODIES': 0.10062680834427443, 'PROPERTIES': 0.04511513355536588, 'ISOLATED': 0.08031301133903915, 'PRECIPITATING': 0.11839981297401664, 'ANTIBIOTIC': 0.14937013580409417, 'DYNAMIC': 0.07328467941865074, 'EIGHTY': 0.07042386465821215, 'ISOLATES': 0.11634743585418236, 'NINETY': 0.07042386465821215, 'RESISTANT': 0.15428680393908972, 'PRODUCE': 0.05202534510322085, 'JUDGED': 0.05919990648700832, 'EPIDEMIC': 0.07042386465821215, 'APPARENTLY': 0.05265086002846996, 'TYPES': 0.0881778899908975, 'SITUATION': 0.05919990648700832, 'SUCCESSFUL': 0.05919990648700832, 'PATHOLOGY': 0.057223615719992175, 'PHAGE': 0.13617281760375882, 'TYPED': 0.07328467941865074, 'POLICY': 0.07697291111675049, 'GRADUALLY': 0.07042386465821215, 'REPLACED': 0.07328467941865074, 'MULTIRESISTANT': 0.08217118173352184, 'METHICILLIN': 0.07697291111675049, 'INFREQUENT': 0.07328467941865074, 'REPEATEDLY': 0.07328467941865074, 'CHEMOTHERAPY': 0.060315436961234335, 'CELLBOUND': 0.08217118173352184, 'EXTRACELLULAR': 0.11634743585418236, 'LIPASE': 0.07042386465821215, 'MERCURY': 0.08217118173352184}
00185;{'SIGNIFICANCE': 0.03845113626030626, 'CYSTIC': 0.0013310028043547815, 'FIBROSIS': 0.001302589255096047, 'PATIENTS': 0.026849312799750728, 'STATUS': 0.03612261445614634, 'MAXIMUM': 0.04200060986472938, 'PERSONS': 0.08197933167780255, 'LIFE': 0.03183086502215376, 'CHILDREN': 0.013539878515095678, 'PANCREATIC': 0.02112994001695347, 'AGE': 0.060501632784062676, 'ANALYZED': 0.040989665838901276, 'FOUND': 0.015007356142505835, 'INDIVIDUALS': 0.028404443582083414, 'EARLY': 0.02773525786954603, 'THREE': 0.022194187649860805, 'YEARS': 0.1073618996643472, 'OLD': 0.06613854463203139, 'INCREASED': 0.018902936756768306, 'ACID': 0.02273201102883871, 'GROUP': 0.019925258998500762, 'CONDITION': 0.03263937722087635, 'INFLUENCE': 0.03808378631918632, 'SIGNIFICANT': 0.03695959186284651, 'SIMILAR': 0.023216952636781744, 'REPORTED': 0.024355065389348535, 'EIGHT': 0.03612261445614634, 'SEVERE': 0.02868504523973064, 'DIAGNOSED': 0.035829811053386215, 'AMINO': 0.04200060986472938, 'AFFECTED': 0.030555170826958886, 'DETERIORATION': 0.04373647104580674, 'OBSERVED': 0.021334007767635485, 'PULMONARY': 0.03961284442973716, 'GASTROINTESTINAL': 0.03554525674059131, 'STATE': 0.033291281474791205, 'DATA': 0.05025007755420989, 'SHOWN': 0.028828324381063537, 'LOWER': 0.04965875669966215, 'DIFFERENCES': 0.023639650716938312, 'BANDS': 0.04583383836679912, 'EMPLOYED': 0.037386888627398925, 'LESS': 0.024171405600629445, 'TIME': 0.027479522435361284, 'ENZYME': 0.026516793346428712, 'LONG': 0.03398817916657859, 'TERM': 0.03554525674059131, 'POOR': 0.04051976669107407, 'NUTRITIONAL': 0.19041893159593157, 'MEDICAL': 0.03554525674059131, 'CENTER': 0.042546743412913986, 'CONTAINED': 0.03964086389319902, 'SURVIVED': 0.04583383836679912, 'POPULATION': 0.03038540195507625, 'IMPAIRMENT': 0.04200060986472938, 'AMONG': 0.08692099549022393, 'WHOSE': 0.04200060986472938, 'EXPERIENCE': 0.037386888627398925, 'GROWTH': 0.06180703207959795, 'MARKEDLY': 0.041482495780006644, 'RATES': 0.07477377725479785, 'GLUCOSE': 0.03964086389319902, 'NATIONAL': 0.04752125336339675, 'ACHIEVED': 0.04373647104580674, 'MORBIDITY': 0.045085272991508996, 'MORTALITY': 0.040989665838901276, 'WEIGHT': 0.02786559529213096, 'YET': 0.03398817916657859, 'DEATH': 0.040989665838901276, 'PARAMETERS': 0.042546743412913986, 'SUPPLEMENTS': 0.04583383836679912, 'DIETARY': 0.03642415953846635, 'SUPPLEMENT': 0.10147591543625885, 'POLYMER': 0.05364383723784439, 'EQUALLY': 0.04583383836679912, 'TYPE': 0.03263937722087635, 'COMPARE': 0.04664235056552171, 'HEALTH': 0.035829811053386215, 'MIXTURE': 0.050737957718129424, 'DUKE': 0.06064532391016706, 'INSTITUTES': 0.05548546912465201, 'HEIGHTS': 0.12948186212554957, 'WEIGHTS': 0.1154788887809042, 'SKEWED': 0.12948186212554957, 'TOWARD': 0.08877675059944322, 'PERCENTILE': 0.06474093106277479, 'SUPPLEMENTATION': 0.13750151510039735, 'PROVEN': 0.04583383836679912, 'LOBER': 0.12948186212554957, 'MEDIAN': 0.0577394443904521, 'REALISTIC': 0.06064532391016706, 'ADULTHOOD': 0.04438837529972161, 'YOUNGER': 0.045085272991508996, 'END': 0.04583383836679912, 'HEIGHT': 0.04373647104580674, 'LINEAR': 0.04848398245232933, 'BEGUN': 0.05548546912465201, 'CONTINUE': 0.04954823008523667, 'TAKE': 0.05364383723784439}
00195;{'SIGNIFICANCE': 0.07930546853688165, 'CYSTIC': 0.00823557985194521, 'FIBROSIS': 0.00805977101590679, 'PATIENTS': 0.022150683059794347, 'COMPARED': 0.042235948761267114, 'CONTROL': 0.03677002658486106, 'NORMAL': 0.024215168813629527, 'SUBJECTS': 0.09063523627572684, 'ADULT': 0.0660557025635484, 'DISEASE': 0.024051340970708393, 'MEASURED': 0.05353958047127902, 'AGE': 0.041594872539043086, 'INCREASED': 0.03898730706083463, 'PER': 0.16772867174862818, 'TRACHEAL': 0.15563348024117393, 'RATE': 0.058300713803551646, 'THERAPEUTIC': 0.07450289231580182, 'MAY': 0.028524126643268817, 'POTENTIAL': 0.07389898529760906, 'PULMONARY': 0.04085074581816644, 'PATHOGENESIS': 0.06961040083502262, 'LESS': 0.09970704810259645, 'MUCOUS': 0.15563348024117393, 'FAILURE': 0.06961040083502262, 'MUCOSA': 0.08264594041344789, 'TRANSPORT': 0.06337617385892144, 'ACROSS': 0.09999821380792923, 'AVERAGE': 0.14548256013043434, 'ROLE': 0.05945841903594354, 'MIN': 0.2479378212403437, 'ADMINISTRATION': 0.06961040083502262, 'BETA': 0.08357201880034026, 'OBSERVATION': 0.07450289231580182, 'PLAY': 0.08775265828913509, 'PLUS': 0.242726470681653, 'MINUS': 0.26325797486740526, 'VELOCITY': 0.2381752081106149, 'OBSERVING': 0.13352817031697298, 'MOTION': 0.10464703779364193, 'TEFLON': 0.13352817031697298, 'DISCS': 0.13352817031697298, 'FIBEROPTIC': 0.11443878006959475, 'BRONCHOSCOPE': 0.11064041430305405, 'MOVEMENT': 0.10464703779364193, 'MUCOCILIARY': 0.08357201880034026, 'ADRENERGIC': 0.10464703779364193, 'AGENT': 0.09801258506200579, 'TERBUTALINE': 0.11908760405530745}
00205;{'SIGNIFICANCE': 0.05598033073191647, 'CYSTIC': 0.0019377834945753436, 'FIBROSIS': 0.001896416709625127, 'PATIENTS': 0.06254310511000757, 'CONCENTRATIONS': 0.07011766130822218, 'SERUM': 0.04895353078974863, 'ONE': 0.023075145103634245, 'LEVELS': 0.0298136108903062, 'NORMAL': 0.017093060339032608, 'PANCREATIC': 0.09228812036816442, 'DISEASE': 0.01697741715579416, 'VALUES': 0.10401031885638523, 'AGE': 0.029361086498148063, 'REPORTS': 0.05057261337713239, 'FOUND': 0.02184894497217761, 'STUDY': 0.0273640050105148, 'SMALL': 0.04000695178089363, 'DUODENAL': 0.12388610581995542, 'ACID': 0.3640464707412552, 'CORRELATION': 0.04423757049341983, 'INSUFFICIENCY': 0.1365514487003902, 'WITHIN': 0.04115344503780116, 'PRODUCED': 0.04691876985803681, 'TOTAL': 0.037022527604471715, 'NON': 0.09325510950148008, 'MEAN': 0.03614865377401877, 'MAY': 0.04026935526108539, 'PATIENT': 0.029721985158679208, 'SYNDROME': 0.04751909330686409, 'SHWACHMAN': 0.05899201327082842, 'SUGGESTED': 0.04375536721661114, 'SHOWN': 0.041970648731254265, 'LOWEST': 0.07213639380056514, 'REDUCTION': 0.05492946361453198, 'EXCESSIVE': 0.06039363356206849, 'LOSS': 0.09693637841189204, 'VOLUMES': 0.061147946714826595, 'ENZYME': 0.1158159944689607, 'INDICATED': 0.04721586849505915, 'RELATION': 0.06039363356206849, 'SHOWED': 0.035458109905080956, 'MANAGEMENT': 0.04751909330686409, 'EVENTUALLY': 0.07058697445265592, 'FAT': 0.051346785928388594, 'FAECAL': 0.5534828332913269, 'EXCRETION': 0.05057261337713239, 'PREVIOUS': 0.04782870226565574, 'FLUID': 0.10605858218553436, 'LEAD': 0.05967613114781215, 'LIVER': 0.04662755475074004, 'OVERT': 0.07583219421646081, 'PRODUCE': 0.05967613114781215, 'LIMITS': 0.06790577508803895, 'ACIDS': 0.0521639896218417, 'ESTIMATION': 0.07058697445265592, 'RAISED': 0.1618461243215957, 'PARTICULAR': 0.05653533555519363, 'BILE': 0.6717639687829976, 'POOL': 0.06918535416141586, 'OUTPUT': 0.07213639380056514, 'INVERSE': 0.08078031534324336, 'TENDED': 0.07058697445265592, 'SPIRATION': 0.09425517904727505, 'DIAMOND': 0.08406183815668762, 'CONTRACTION': 0.09425517904727505, 'INTRADUODENAL': 0.09425517904727505, 'MEASURES': 0.06367515637551276, 'CURTAIL': 0.09425517904727505}
